Image,Latitude,Longitude,lables,,,
279a.jpg,17.562735,78.168611,VC-       -R02-PWL-13,,,
280a.jpg,17.562973,78.168618,VC-       -R02-CPT-14,,,
281a.jpg,17.563071,78.168332,VC-       -R02-PWL-15,,,
282a.jpg,17.563153,78.168089,VC-       -R02-PWL-16,,,
283a.jpg,17.562753,78.168324,VC-       -R02-PWL-17,,,
284a.jpg,17.562757,78.167996,VC-       -R02-PWL-18,,,
285a.jpg,17.56276,78.167829,VC-       -R02-PWL-19,,,
286a.jpg,17.562394,78.167678,VC-       -R02-PWL-20,,,
287a.jpg,17.562416,78.167803,VC-       -R02-PWL-21,,,
288a.jpg,17.562359,78.167969,VC-       -R02-PWL-22,,,
289a.jpg,17.562458,78.169056,VC-       -R02-PWL-23,,,
290a.jpg,17.562439,78.169169,VC-       -R02-PNL-24,,,
291a.jpg,17.562404,78.169444,VC-       -R02-PWL-25,,,
292a.jpg,17.562219,78.169184,VC-       -R02-PWL-26,,,
293a.jpg,17.562214,78.169488,VC-       -R02-PWL-27,,,
294a.jpg,17.556225,78.16969,VC-       -R02-PNL-28,,,
295a.jpg,17.562033,78.16979,VC-       -R02-PWL-29,,,
296a.jpg,17.561822,78.16989,VC-       -R02-PWL-30,,,
297a.jpg,17.561461,78.170068,VC-       -R02-PWL-31,,,
298a.jpg,17.561434,78.169821,VC-       -R02-PWL-32,,,
299a.jpg,17.561332,78.170487,VC-       -R02-PWL-33,,,
300a.jpg,17.561182,78.170834,VC-       -R02-PWL-34,,,
301a.jpg,17.56107,78.171122,VC-       -R02-PNL-35,,,
302a.jpg,17.56062,78.170963,VC-       -R02-PNL-36,,,
303a.jpg,17.560404,78.170872,VC-       -R02-PNL-37,,,
304a.jpg,17.560424,78.170488,VC-       -R02-PNL-38,,,
305a.jpg,17.56054,78.170172,VC-       -R02-PNL-39,,,
306a.jpg,17.560071,78.170714,VC-       -R02-PNL-40,,,
307a.jpg,17.559981,78.170681,VC-       -R02-PNL-41,,,
308a.jpg,17.560071,78.17036,VC-       -R02-PNL-42,,,
309a.jpg,17.560137,78.170167,VC-       -R02-PNL-43,,,
310a.jpg,17.559584,78.170609,VC-       -R02-PNL-44,,,
311a.jpg,17.561418,78.171247,VC-       -R02-PNL-45,,,
312a.jpg,17.561484,78.171239,VC-       -R02-PNL-46,,,
313a.jpg,17.561577,78.171041,VC-       -R02-PNL-47,,,
314a.jpg,17.561681,78.170778,VC-       -R02-PNL-48,,,
315a.jpg,17.561992,78.17101,VC-       -R02-PNL-49,,,
316a.jpg,17.562062,78.170835,VC-       -R02-PNL-50,,,
317a.jpg,17.562148,78.170639,VC-       -R02-PNL-51,,,
318a.jpg,17.562169,78.170608,VC-       -R00-CPT-01,,,
319a.jpg,17.562313,78.17022,VC-       -R02-PNL-52,,,
320a.jpg,17.562446,78.169847,VC-       -R02-PNL-53,,,
